CCT
ferrite_nucleation,ferrite_nucleation,ferrite_completion,ferrite_completion,pearlite_nucleation,pearlite_nucleation,pearlite_completion,pearlite_completion,bainite_nucleation,bainite_nucleation,bainite_completion,bainite_completion,martensite,martensite
x,y,x,y,x,y,x,y,x,y,x,y,x,y
2.1199183464050293,520.0,36.821685791015625,543.0,926.7693481445312,495.0,4156.671875,535.0,0.5617892742156982,467.0,12.26242446899414,474.0,0.0010000000474974513,464.0
2.148927688598633,579.0,38.36881637573242,590.0,1043.4736328125,520.0,7265.634765625,581.0,0.6585779190063477,477.0,14.404030799865723,483.0,12.26242446899414,464.0
2.3136119842529297,612.0,41.58684539794922,620.0,1192.8551025390625,538.0,13255.7978515625,609.0,0.7734787464141846,486.0,16.95323371887207,491.0,0.0,0.0
2.5353331565856934,637.0,45.80493927001953,643.0,1372.1129150390625,553.0,24780.59765625,628.0,0.9124807715415955,493.0,20.04543685913086,497.0,0.0,0.0
2.8226065635681152,656.0,51.11617660522461,661.0,1589.5948486328125,565.0,46828.0390625,643.0,1.0788347721099854,499.0,23.696392059326172,503.0,0.0,0.0
3.1789028644561768,671.0,57.48965835571289,676.0,1844.8790283203125,576.0,90011.875,653.0,1.2784595489501953,504.0,28.077539443969727,508.0,0.0,0.0
3.5814712047576904,685.0,65.29182434082031,688.0,3359.501953125,605.0,173464.1875,662.0,1.5147807598114014,509.0,33.349239349365234,512.0,0.0,0.0
4.05789041519165,697.0,73.91527557373047,700.0,6240.70166015625,626.0,336724.59375,669.0,1.794492244720459,514.0,39.60652160644531,516.0,0.0,0.0
4.6295928955078125,707.0,84.26341247558594,710.0,11798.115234375,641.0,658872.375,674.0,2.1366546154022217,517.0,47.03274154663086,520.0,0.0,0.0
5.296446323394775,716.0,96.32638549804688,719.0,22594.07421875,652.0,1288591.0,679.0,2.53720760345459,521.0,55.993717193603516,523.0,0.0,0.0
6.044857025146484,725.0,110.48263549804688,727.0,43548.25390625,661.0,2530536.25,683.0,3.0205488204956055,524.0,66.65777587890625,526.0,0.0,0.0
6.963675498962402,732.0,127.21469116210938,734.0,84545.5703125,668.0,4991104.0,686.0,3.595738410949707,527.0,79.34770202636719,529.0,0.0,0.0
8.00822639465332,739.0,146.2202606201172,741.0,164718.09375,674.0,9888916.0,688.0,4.291749954223633,529.0,94.70394134521484,531.0,0.0,0.0
9.251740455627441,745.0,168.843017578125,747.0,323605.4375,678.0,19591248.0,690.0,5.108455181121826,532.0,113.02877044677734,533.0,0.0,0.0
